"PM1;""PM2.5"";""PM 10"";""TIme"""
"15;""22"";""22"";""12:23:30 PM"""
"16;""18"";""19"";""12:24:09 PM"""
"17;""19"";""19"";""12:23:14 PM"""
"18;""20"";""20"";""12:22:59 PM"""
"19;""21"";""21"";""12:22:29 PM"""
"21;""24"";""24"";""12:21:58 PM"""
"23;""25"";""25"";""12:20:56 PM"""
"25;""29"";""30"";""12:20:26 PM"""
"26;""30"";""31"";""12:20:41 PM"""
"18;""21"";""22"";""12:25:15 PM"""
"17;""20"";""21"";""12:25:16 PM"""
"18;""20"";""21"";""12:25:18 PM"""
"18;""20"";""21"";""12:25:20 PM"""
"18;""20"";""21"";""12:25:21 PM"""
"16;""18"";""19"";""12:25:25 PM"""
"16;""18"";""19"";""12:25:27 PM"""
"16;""19"";""19"";""12:25:28 PM"""
"17;""20"";""20"";""12:25:31 PM"""
"17;""20"";""20"";""12:25:32 PM"""
"17;""20"";""20"";""12:25:34 PM"""
"16;""19"";""19"";""12:25:36 PM"""
"16;""19"";""19"";""12:25:37 PM"""
"15;""19"";""19"";""12:25:39 PM"""
"15;""19"";""19"";""12:25:41 PM"""
"15;""19"";""19"";""12:25:42 PM"""
"15;""18"";""18"";""12:25:44 PM"""
"16;""19"";""19"";""12:25:46 PM"""
"16;""19"";""19"";""12:25:48 PM"""
"16;""19"";""19"";""12:25:49 PM"""
"16;""20"";""20"";""12:25:51 PM"""
"16;""20"";""20"";""12:25:53 PM"""
"17;""20"";""20"";""12:25:54 PM"""
"17;""20"";""20"";""12:25:57 PM"""
"17;""20"";""20"";""12:25:58 PM"""
"17;""19"";""19"";""12:26:00 PM"""
"16;""19"";""19"";""12:26:02 PM"""
"16;""19"";""19"";""12:26:03 PM"""
"16;""18"";""18"";""12:26:05 PM"""
"17;""19"";""19"";""12:26:07 PM"""
"17;""19"";""19"";""12:26:09 PM"""
"17;""19"";""19"";""12:26:10 PM"""
"17;""19"";""19"";""12:26:12 PM"""
"17;""19"";""19"";""12:26:14 PM"""
"18;""20"";""20"";""12:26:15 PM"""
"17;""19"";""20"";""12:26:18 PM"""
"17;""19"";""20"";""12:26:19 PM"""
"16;""18"";""19"";""12:26:21 PM"""
"16;""17"";""18"";""12:26:23 PM"""
"16;""17"";""18"";""12:26:24 PM"""
"16;""18"";""18"";""12:26:26 PM"""
"15;""17"";""18"";""12:26:28 PM"""
