"PM 1";"PM 2.5";"PM 10";"TIme"
"";"";"";"10:42:25 AM"
" 9";"15";"15";"10:42:26 AM"
" 9";"14";"15";"10:42:41 AM"
"";"";"";"10:42:56 AM"
" 7";"10";"10";"10:42:56 AM"
" 7";"10";"10";"10:43:11 AM"
"";"";"";"10:43:26 AM"
" 8";"12";"12";"10:43:27 AM"
" 8";"12";"12";"10:43:42 AM"
"";"";"";"10:43:57 AM"
" 8";"11";"12";"10:43:57 AM"
" 8";"11";"12";"10:44:12 AM"
"";"";"";"10:44:27 AM"
" 8";"11";"11";"10:44:28 AM"
" 8";"11";"11";"10:44:43 AM"
"";"";"";"10:44:58 AM"
" 9";"13";"14";"10:44:58 AM"
" 9";"13";"14";"10:45:13 AM"
"";"";"";"10:45:28 AM"
" 9";"15";"16";"10:45:29 AM"
" 9";"14";"15";"10:45:44 AM"
"";"";"";"10:45:59 AM"
" 8";"11";"12";"10:45:59 AM"
" 8";"11";"12";"10:46:14 AM"
"";"";"";"10:46:29 AM"
" 7";"12";"13";"10:46:30 AM"
" 7";"12";"13";"10:46:45 AM"
"";"";"";"10:47:00 AM"
" 9";"14";"15";"10:47:00 AM"
" 8";"13";"15";"10:47:15 AM"
"";"";"";"10:47:30 AM"
" 8";"12";"13";"10:47:31 AM"
" 8";"12";"13";"10:47:46 AM"
"";"";"";"10:48:01 AM"
" 9";"12";"12";"10:48:01 AM"
" 9";"12";"12";"10:48:16 AM"
"";"";"";"10:48:31 AM"
" 8";"12";"12";"10:48:32 AM"
" 8";"12";"12";"10:48:47 AM"
"";"";"";"10:49:02 AM"
" 7";"11";"12";"10:49:02 AM"
" 7";"11";"12";"10:49:17 AM"
"";"";"";"10:49:32 AM"
" 8";"13";"13";"10:49:33 AM"
" 8";"13";"13";"10:49:48 AM"
"";"";"";"10:50:03 AM"
" 8";"10";"11";"10:50:03 AM"
" 8";"11";"12";"10:50:18 AM"
"";"";"";"10:50:33 AM"
" 8";"10";"11";"10:50:34 AM"
" 8";"10";"11";"10:50:49 AM"
"";"";"";"10:51:04 AM"
" 7";"12";"15";"10:51:04 AM"
" 7";"12";"15";"10:51:19 AM"
"";"";"";"10:51:34 AM"
" 8";"11";"11";"10:51:35 AM"
" 8";"12";"12";"10:51:50 AM"
"";"";"";"10:52:05 AM"
" 7";"11";"11";"10:52:05 AM"
" 7";"11";"11";"10:52:20 AM"
"";"";"";"10:52:35 AM"
" 8";"14";"14";"10:52:36 AM"
" 8";"14";"14";"10:52:51 AM"
"";"";"";"10:53:06 AM"
" 8";"12";"14";"10:53:06 AM"
" 8";"11";"13";"10:53:21 AM"
"";"";"";"10:53:36 AM"
" 7";"11";"12";"10:53:37 AM"
" 7";"11";"12";"10:53:52 AM"
"";"";"";"10:54:07 AM"
" 7";"10";"10";"10:54:07 AM"
" 7";"10";"10";"10:54:22 AM"
"";"";"";"10:54:37 AM"
" 7";"10";"11";"10:54:38 AM"
" 7";"10";"11";"10:54:53 AM"
"";"";"";"10:55:08 AM"
" 7";"12";"15";"10:55:08 AM"
" 7";"12";"15";"10:55:23 AM"
"";"";"";"10:55:38 AM"
" 7";"12";"13";"10:55:39 AM"
" 7";"12";"13";"10:55:54 AM"
"";"";"";"10:56:09 AM"
" 7";"15";"16";"10:56:10 AM"
" 7";"16";"17";"10:56:25 AM"
"";"";"";"10:56:40 AM"
" 8";"12";"12";"10:56:41 AM"
" 8";"12";"12";"10:56:56 AM"
"";"";"";"10:57:11 AM"
" 9";"11";"13";"10:57:11 AM"
" 9";"11";"13";"10:57:26 AM"
"";"";"";"10:57:41 AM"
" 7";"12";"13";"10:57:42 AM"
" 7";"11";"11";"10:57:57 AM"
"";"";"";"10:58:12 AM"
" 7";"12";"13";"10:58:12 AM"
" 7";"12";"13";"10:58:27 AM"
"";"";"";"10:58:42 AM"
" 8";"13";"13";"10:58:43 AM"
" 8";"13";"13";"10:58:58 AM"
"";"";"";"10:59:13 AM"
" 7";"11";"12";"10:59:13 AM"
" 6";"10";"11";"10:59:28 AM"
"";"";"";"10:59:43 AM"
" 9";"14";"15";"10:59:44 AM"
" 9";"14";"15";"10:59:59 AM"
"";"";"";"11:00:14 AM"
" 7";"11";"12";"11:00:14 AM"
" 7";"11";"12";"11:00:29 AM"
"";"";"";"11:00:44 AM"
" 8";"15";"16";"11:00:45 AM"
" 8";"15";"16";"11:01:00 AM"
"";"";"";"11:01:15 AM"
" 7";"10";"12";"11:01:15 AM"
" 7";"10";"12";"11:01:30 AM"
"";"";"";"11:01:45 AM"
" 6";"9P";"
";"11:01:46 AM"
" 6";"9P";"
";"11:02:01 AM"
"";"";"";"11:02:16 AM"
" 7";"11";"13";"11:02:16 AM"
" 8";"12";"13";"11:02:31 AM"
"";"";"";"11:02:46 AM"
" 7";"12";"13";"11:02:47 AM"
" 6";"11";"12";"11:03:02 AM"
"";"";"";"11:03:17 AM"
" 6";"9P";"
";"11:03:17 AM"
" 6";"9P";"
";"11:03:32 AM"
"";"";"";"11:03:47 AM"
" 8";"12";"12";"11:03:48 AM"
" 8";"12";"12";"11:04:03 AM"
"";"";"";"11:04:18 AM"
" 9";"13";"13";"11:04:18 AM"
" 9";"13";"13";"11:04:33 AM"
"";"";"";"11:04:48 AM"
"";"";"";"11:04:49 AM"
" 9";"13";"13";"11:04:50 AM"
" 9";"13";"13";"11:05:05 AM"
"";"";"";"11:05:20 AM"
" 7";"10";"11";"11:05:20 AM"
" 7";"10";"11";"11:05:35 AM"
"";"";"";"11:05:50 AM"
" 1";" 1";" 1";"11:05:51 AM"
" 1";" 1";" 1";"11:06:06 AM"
"";"";"";"11:06:21 AM"
" 8";"13";"13";"11:06:21 AM"
" 8";"13";"13";"11:06:36 AM"
"";"";"";"11:06:51 AM"
" 8";"11";"13";"11:06:52 AM"
" 8";"11";"13";"11:07:07 AM"
"";"";"";"11:07:22 AM"
" 8";"11";"11";"11:07:22 AM"
" 8";"11";"11";"11:07:37 AM"
"";"";"";"11:07:52 AM"
" 7";"12";"14";"11:07:53 AM"
