"Hum";"Temp";"GAS";"Time"
"16.00%";"24.00°C";" 30.34";"5:08:25 PM"
"16.00%";"24.00°C";" 27.88";"5:08:28 PM"
"16.00%";"24.00°C";" 27.88";"5:08:31 PM"
"16.00%";"24.00°C";" 27.88";"5:08:35 PM"
"16.00%";"24.00°C";" 30.34";"5:08:38 PM"
"16.00%";"24.00°C";" 27.88";"5:08:41 PM"
"16.00%";"24.00°C";" 25.56";"5:08:45 PM"
"16.00%";"24.00°C";" 27.88";"5:08:48 PM"
"16.00%";"24.00°C";" 27.88";"5:08:51 PM"
"16.00%";"24.00°C";" 27.88";"5:08:54 PM"
"16.00%";"24.00°C";" 25.56";"5:08:58 PM"
"16.00%";"24.00°C";" 30.34";"5:09:01 PM"
"16.00%";"24.00°C";" 30.34";"5:09:04 PM"
"16.00%";"24.00°C";" 27.88";"5:09:08 PM"
"16.00%";"24.00°C";" 27.88";"5:09:11 PM"
"16.00%";"24.00°C";" 27.88";"5:09:14 PM"
"16.00%";"24.00°C";" 27.88";"5:09:18 PM"
"16.00%";"24.00°C";" 25.56";"5:09:21 PM"
"16.00%";"24.00°C";" 27.88";"5:09:24 PM"
"16.00%";"24.00°C";" 27.88";"5:09:28 PM"
"16.00%";"24.00°C";" 30.34";"5:09:31 PM"
"16.00%";"24.00°C";" 25.56";"5:09:34 PM"
"16.00%";"24.00°C";" 27.88";"5:09:38 PM"
"16.00%";"24.00°C";" 25.56";"5:09:41 PM"
"16.00%";"24.00°C";" 27.88";"5:09:44 PM"
"16.00%";"24.00°C";" 25.56";"5:09:47 PM"
"16.00%";"24.00°C";" 25.56";"5:09:51 PM"
"16.00%";"24.00°C";" 27.88";"5:09:54 PM"
"16.00%";"24.00°C";" 25.56";"5:09:57 PM"
"16.00%";"24.00°C";" 25.56";"5:10:01 PM"
"16.00%";"24.00°C";" 25.56";"5:10:04 PM"
"16.00%";"24.00°C";" 27.88";"5:10:07 PM"
"16.00%";"24.00°C";" 27.88";"5:10:11 PM"
"16.00%";"24.00°C";" 25.56";"5:10:14 PM"
"16.00%";"24.00°C";" 25.56";"5:10:17 PM"
"16.00%";"24.00°C";" 25.56";"5:10:21 PM"
"16.00%";"24.00°C";" 27.88";"5:10:24 PM"
"16.00%";"24.00°C";" 27.88";"5:10:27 PM"
"16.00%";"24.00°C";" 27.88";"5:10:31 PM"
"16.00%";"24.00°C";" 27.88";"5:10:34 PM"
"16.00%";"24.00°C";" 25.56";"5:10:37 PM"
"16.00%";"24.00°C";" 25.56";"5:10:40 PM"
"16.00%";"24.00°C";" 27.88";"5:10:44 PM"
"16.00%";"24.00°C";" 25.56";"5:10:47 PM"
"16.00%";"24.00°C";" 30.34";"5:10:50 PM"
"16.00%";"24.00°C";" 25.56";"5:10:54 PM"
"16.00%";"24.00°C";" 27.88";"5:10:57 PM"
"16.00%";"24.00°C";" 25.56";"5:11:00 PM"
"16.00%";"24.00°C";" 27.88";"5:11:04 PM"
"16.00%";"24.00°C";" 25.56";"5:11:07 PM"
"16.00%";"24.00°C";" 25.56";"5:11:10 PM"
"16.00%";"24.00°C";" 27.88";"5:11:14 PM"
"16.00%";"24.00°C";" 27.88";"5:11:17 PM"
"16.00%";"24.00°C";" 25.56";"5:11:20 PM"
"16.00%";"24.00°C";" 27.88";"5:11:23 PM"
"16.00%";"24.00°C";" 30.34";"5:11:27 PM"
"16.00%";"24.00°C";" 30.34";"5:11:30 PM"
"16.00%";"24.00°C";" 30.34";"5:11:33 PM"
"16.00%";"24.00°C";" 32.94";"5:11:37 PM"
"16.00%";"24.00°C";" 30.34";"5:11:40 PM"
"16.00%";"24.00°C";" 30.34";"5:11:43 PM"
"16.00%";"24.00°C";" 30.34";"5:11:47 PM"
"16.00%";"24.00°C";" 30.34";"5:11:50 PM"
"16.00%";"24.00°C";" 30.34";"5:11:53 PM"
"16.00%";"24.00°C";" 30.34";"5:11:57 PM"
