"Hum";"Temp";"GAS";"Time"
"16.00%";"24.00°";" 30.05";"3:36:19 PM"
"16.00%";"24.00°";" 30.05";"3:36:22 PM"
"16.00%";"24.00°";" 33.12";"3:36:26 PM"
"16.00%";"24.00°";" 30.05";"3:36:29 PM"
"16.00%";"24.00°";" 30.05";"3:36:32 PM"
"16.00%";"24.00°";" 30.05";"3:36:36 PM"
"16.00%";"24.00°";" 30.05";"3:36:39 PM"
"16.00%";"24.00°";" 30.05";"3:36:42 PM"
"16.00%";"24.00°";" 33.12";"3:36:45 PM"
"16.00%";"24.00°";" 33.12";"3:36:49 PM"
"16.00%";"24.00°";" 30.05";"3:36:52 PM"
"16.00%";"24.00°";" 33.12";"3:36:55 PM"
"16.00%";"24.00°";" 36.39";"3:36:59 PM"
"16.00%";"24.00°";" 33.12";"3:37:02 PM"
"16.00%";"24.00°";" 30.05";"3:37:05 PM"
"16.00%";"24.00°";" 33.12";"3:37:09 PM"
"16.00%";"24.00°";" 33.12";"3:37:12 PM"
"16.00%";"24.00°";" 33.12";"3:37:15 PM"
"16.00%";"24.00°";" 33.12";"3:37:19 PM"
"16.00%";"24.00°";" 33.12";"3:37:22 PM"
"16.00%";"24.00°";" 33.12";"3:37:25 PM"
"16.00%";"24.00°";" 33.12";"3:37:29 PM"
"16.00%";"24.00°";" 30.05";"3:37:32 PM"
"16.00%";"24.00°";" 30.05";"3:37:35 PM"
"16.00%";"24.00°";" 33.12";"3:37:39 PM"
"16.00%";"24.00°";" 30.05";"3:37:42 PM"
"16.00%";"24.00°";" 33.12";"3:37:45 PM"
"16.00%";"24.00°";" 30.05";"3:37:48 PM"
"16.00%";"24.00°";" 30.05";"3:37:52 PM"
"16.00%";"24.00°";" 30.05";"3:37:55 PM"
"16.00%";"24.00°";" 30.05";"3:37:58 PM"
"16.00%";"24.00°";" 30.05";"3:38:02 PM"
"16.00%";"24.00°";" 30.05";"3:38:05 PM"
"16.00%";"24.00°";" 33.12";"3:38:08 PM"
"16.00%";"24.00°";" 30.05";"3:38:12 PM"
"16.00%";"24.00°";" 30.05";"3:38:15 PM"
"16.00%";"24.00°";" 30.05";"3:38:18 PM"
"16.00%";"24.00°";" 30.05";"3:38:22 PM"
"16.00%";"24.00°";" 30.05";"3:38:25 PM"
"16.00%";"24.00°";" 36.39";"3:38:28 PM"
"16.00%";"24.00°";" 33.12";"3:38:32 PM"
"16.00%";"23.00°";" 30.05";"3:38:35 PM"
"16.00%";"23.00°";" 33.12";"3:38:38 PM"
"16.00%";"24.00°";" 30.05";"3:38:42 PM"
"16.00%";"24.00°";" 33.12";"3:38:45 PM"
"16.00%";"24.00°";" 30.05";"3:38:48 PM"
"16.00%";"24.00°";" 33.12";"3:38:51 PM"
"16.00%";"24.00°";" 30.05";"3:38:55 PM"
"16.00%";"24.00°";" 30.05";"3:38:58 PM"
"16.00%";"24.00°";" 30.05";"3:39:01 PM"
"16.00%";"24.00°";" 30.05";"3:39:05 PM"
"16.00%";"24.00°";" 33.12";"3:39:08 PM"
"16.00%";"24.00°";" 36.39";"3:39:11 PM"
"16.00%";"24.00°";" 36.39";"3:39:15 PM"
"16.00%";"24.00°";" 33.12";"3:39:18 PM"
"16.00%";"24.00°";" 36.39";"3:39:21 PM"
"16.00%";"24.00°";" 36.39";"3:39:25 PM"
"16.00%";"24.00°";" 36.39";"3:39:28 PM"
"16.00%";"24.00°";" 36.39";"3:39:31 PM"
"16.00%";"24.00°";" 36.39";"3:39:35 PM"
"16.00%";"24.00°";" 33.12";"3:39:38 PM"
"16.00%";"24.00°";" 33.12";"3:39:41 PM"
"16.00%";"24.00°";" 33.12";"3:39:45 PM"
"16.00%";"24.00°";" 36.39";"3:39:48 PM"
"16.00%";"24.00°";" 36.39";"3:39:51 PM"
"16.00%";"24.00°";" 33.12";"3:39:54 PM"
"16.00%";"24.00°";" 33.12";"3:39:58 PM"
"16.00%";"24.00°";" 33.12";"3:40:01 PM"
"16.00%";"24.00°";" 33.12";"3:40:04 PM"
"16.00%";"24.00°";" 36.39";"3:40:08 PM"
"16.00%";"24.00°";" 30.05";"3:40:11 PM"
"16.00%";"24.00°";" 33.12";"3:40:14 PM"
"16.00%";"24.00°";" 30.05";"3:40:18 PM"
"16.00%";"24.00°";" 30.05";"3:40:21 PM"
"16.00%";"24.00°";" 36.39";"3:40:24 PM"
"16.00%";"24.00°";" 30.05";"3:40:28 PM"
"16.00%";"24.00°";" 33.12";"3:40:31 PM"
"16.00%";"24.00°";" 36.39";"3:40:34 PM"
"16.00%";"24.00°";" 36.39";"3:40:38 PM"
"16.00%";"24.00°";" 36.39";"3:40:41 PM"
"16.00%";"24.00°";" 33.12";"3:40:44 PM"
"16.00%";"24.00°";" 33.12";"3:40:47 PM"
"16.00%";"24.00°";" 36.39";"3:40:51 PM"
"16.00%";"24.00°";" 36.39";"3:40:54 PM"
"16.00%";"24.00°";" 36.39";"3:40:57 PM"
"16.00%";"24.00°";" 36.39";"3:41:01 PM"
"16.00%";"24.00°";" 33.12";"3:41:04 PM"
"16.00%";"24.00°";" 36.39";"3:41:07 PM"
"16.00%";"24.00°";" 33.12";"3:41:11 PM"
"16.00%";"24.00°";" 33.12";"3:41:14 PM"
"16.00%";"24.00°";" 36.39";"3:41:17 PM"
"16.00%";"24.00°";" 30.05";"3:41:21 PM"
"16.00%";"24.00°";" 30.05";"3:41:24 PM"
"16.00%";"24.00°";" 30.05";"3:41:27 PM"
"16.00%";"24.00°";" 33.12";"3:41:31 PM"
"16.00%";"24.00°";" 33.12";"3:41:34 PM"
"16.00%";"24.00°";" 36.39";"3:41:37 PM"
"16.00%";"24.00°";" 33.12";"3:41:41 PM"
"16.00%";"24.00°";" 33.12";"3:41:44 PM"
"16.00%";"24.00°";" 30.05";"3:41:47 PM"
"16.00%";"24.00°";" 33.12";"3:41:50 PM"
"16.00%";"24.00°";" 30.05";"3:41:54 PM"
"16.00%";"24.00°";" 30.05";"3:41:57 PM"
"16.00%";"24.00°";" 36.39";"3:42:00 PM"
"16.00%";"24.00°";" 36.39";"3:42:04 PM"
"16.00%";"24.00°";" 36.39";"3:42:07 PM"
"16.00%";"24.00°";" 33.12";"3:42:10 PM"
"16.00%";"24.00°";" 33.12";"3:42:14 PM"
"16.00%";"24.00°";" 36.39";"3:42:17 PM"
"16.00%";"24.00°";" 33.12";"3:42:20 PM"
"16.00%";"24.00°";" 36.39";"3:42:24 PM"
"16.00%";"24.00°";" 33.12";"3:42:27 PM"
"16.00%";"24.00°";" 33.12";"3:42:30 PM"
"16.00%";"24.00°";" 33.12";"3:42:34 PM"
"16.00%";"24.00°";" 36.39";"3:42:37 PM"
"16.00%";"24.00°";" 36.39";"3:42:40 PM"
"16.00%";"24.00°";" 33.12";"3:42:44 PM"
"16.00%";"24.00°";" 33.12";"3:42:47 PM"
"16.00%";"24.00°";" 33.12";"3:42:50 PM"
"16.00%";"24.00°";" 30.05";"3:42:53 PM"
"16.00%";"24.00°";" 30.05";"3:42:57 PM"
"16.00%";"24.00°";" 33.12";"3:43:00 PM"
"16.00%";"24.00°";" 33.12";"3:43:03 PM"
"16.00%";"24.00°";" 33.12";"3:43:07 PM"
"16.00%";"24.00°";" 30.05";"3:43:10 PM"
