"HUM";"Temp";"GAS";"Time"
"18.00%";"20.00°";" 26.53";"5:11:59 PM"
"18.00%";"20.00°";" 29.24";"5:12:02 PM"
"18.00%";"20.00°";" 29.24";"5:12:05 PM"
"18.00%";"20.00°";" 32.14";"5:12:09 PM"
"18.00%";"20.00°";" 32.14";"5:12:12 PM"
"17.00%";"21.00°";" 29.24";"5:12:15 PM"
"17.00%";"21.00°";" 32.14";"5:12:19 PM"
"17.00%";"21.00°";" 32.14";"5:12:22 PM"
"17.00%";"21.00°";" 32.14";"5:12:25 PM"
"17.00%";"21.00°";" 32.14";"5:12:29 PM"
"17.00%";"21.00°";" 32.14";"5:12:32 PM"
"17.00%";"21.00°";" 32.14";"5:12:35 PM"
"17.00%";"21.00°";" 32.14";"5:12:39 PM"
"17.00%";"21.00°";" 29.24";"5:12:42 PM"
"17.00%";"21.00°";" 29.24";"5:12:45 PM"
"17.00%";"21.00°";" 32.14";"5:12:49 PM"
"17.00%";"21.00°";" 32.14";"5:12:52 PM"
"17.00%";"21.00°";" 26.53";"5:12:55 PM"
"17.00%";"21.00°";" 29.24";"5:12:58 PM"
"17.00%";"21.00°";" 29.24";"5:13:02 PM"
"17.00%";"21.00°";" 32.14";"5:13:05 PM"
"17.00%";"21.00°";" 29.24";"5:13:08 PM"
"17.00%";"21.00°";" 26.53";"5:13:12 PM"
"17.00%";"21.00°";" 32.14";"5:13:15 PM"
"17.00%";"21.00°";" 32.14";"5:13:18 PM"
"17.00%";"21.00°";" 29.24";"5:13:22 PM"
"17.00%";"21.00°";" 29.24";"5:13:25 PM"
"17.00%";"21.00°";" 32.14";"5:13:28 PM"
"17.00%";"21.00°";" 29.24";"5:13:32 PM"
"17.00%";"21.00°";" 29.24";"5:13:35 PM"
"17.00%";"21.00°";" 29.24";"5:13:38 PM"
"17.00%";"21.00°";" 29.24";"5:13:42 PM"
"17.00%";"21.00°";" 29.24";"5:13:45 PM"
"17.00%";"21.00°";" 29.24";"5:13:48 PM"
"17.00%";"21.00°";" 26.53";"5:13:52 PM"
"17.00%";"21.00°";" 26.53";"5:13:55 PM"
"17.00%";"21.00°";" 32.14";"5:13:58 PM"
"17.00%";"21.00°";" 29.24";"5:14:01 PM"
"17.00%";"21.00°";" 29.24";"5:14:05 PM"
"17.00%";"21.00°";" 29.24";"5:14:08 PM"
"17.00%";"21.00°";" 29.24";"5:14:11 PM"
"17.00%";"21.00°";" 29.24";"5:14:15 PM"
"17.00%";"21.00°";" 29.24";"5:14:18 PM"
"17.00%";"21.00°";" 29.24";"5:14:21 PM"
"17.00%";"21.00°";" 29.24";"5:14:25 PM"
"17.00%";"21.00°";" 29.24";"5:14:28 PM"
"17.00%";"21.00°";" 26.53";"5:14:31 PM"
"17.00%";"21.00°";" 32.14";"5:14:35 PM"
"17.00%";"21.00°";" 32.14";"5:14:38 PM"
