"PM 1";"PM2.5";"PM10";"Time"
" 0";" 2";" 0";"5:12:05 PM"
"";"";"";"5:12:08 PM"
" 0";" 2";" 0";"5:12:08 PM"
" 0";" 2";" 0";"5:12:11 PM"
"";"";"";"5:12:14 PM"
" 0";" 2";" 0";"5:12:14 PM"
" 0";" 2";" 0";"5:12:17 PM"
"";"";"";"5:12:20 PM"
" 0";" 2";" 0";"5:12:20 PM"
" 0";" 2";" 0";"5:12:23 PM"
"";"";"";"5:12:26 PM"
" 0";" 2";" 0";"5:12:26 PM"
" 0";" 2";" 0";"5:12:29 PM"
"";"";"";"5:12:32 PM"
" 0";" 2";" 0";"5:12:32 PM"
" 0";" 2";" 0";"5:12:35 PM"
"";"";"";"5:12:38 PM"
" 0";" 2";" 0";"5:12:38 PM"
" 0";" 2";" 0";"5:12:41 PM"
"";"";"";"5:12:44 PM"
" 0";" 2";" 0";"5:12:44 PM"
" 0";" 2";" 0";"5:12:47 PM"
"";"";"";"5:12:50 PM"
" 0";" 2";" 0";"5:12:50 PM"
" 0";" 2";" 0";"5:12:53 PM"
"";"";"";"5:12:56 PM"
" 0";" 2";" 0";"5:12:57 PM"
" 0";" 2";" 0";"5:13:00 PM"
"";"";"";"5:13:03 PM"
" 0";" 2";" 0";"5:13:03 PM"
" 0";" 2";" 0";"5:13:06 PM"
"";"";"";"5:13:09 PM"
" 0";" 2";" 0";"5:13:09 PM"
" 0";" 2";" 0";"5:13:12 PM"
"";"";"";"5:13:15 PM"
" 0";" 2";" 0";"5:13:15 PM"
" 0";" 2";" 0";"5:13:18 PM"
"";"";"";"5:13:21 PM"
"";"";"";"5:13:21 PM"
" 0";" 2";" 0";"5:13:22 PM"
" 0";" 2";" 0";"5:13:25 PM"
"";"";"";"5:13:28 PM"
" 0";" 2";" 0";"5:13:28 PM"
" 0";" 2";" 0";"5:13:31 PM"
"";"";"";"5:13:34 PM"
" 0";" 2";" 0";"5:13:34 PM"
" 0";" 2";" 0";"5:13:37 PM"
"";"";"";"5:13:40 PM"
" 0";" 2";" 0";"5:13:40 PM"
" 0";" 2";" 0";"5:13:43 PM"
"";"";"";"5:13:46 PM"
" 0";" 2";" 0";"5:13:46 PM"
" 0";" 2";" 0";"5:13:49 PM"
"";"";"";"5:13:52 PM"
" 0";" 2";" 0";"5:13:52 PM"
" 0";" 2";" 0";"5:13:55 PM"
"";"";"";"5:13:58 PM"
" 0";" 2";" 0";"5:13:58 PM"
" 0";" 2";" 0";"5:14:01 PM"
"";"";"";"5:14:04 PM"
" 0";" 2";" 0";"5:14:05 PM"
" 0";" 2";" 0";"5:14:08 PM"
"";"";"";"5:14:11 PM"
" 0";" 2";" 0";"5:14:11 PM"
" 0";" 2";" 0";"5:14:14 PM"
