"PM 1";"PM 2.5";"PM 10";"TIme"
" 4";" 2";" 6";"4:14:34 PM"
" 4";" 2";" 6";"4:14:49 PM"
"";"";"";"4:15:04 PM"
" 1";" 2";" 3";"4:15:04 PM"
" 1";" 2";" 4";"4:15:19 PM"
"";"";"";"4:15:34 PM"
" 3";" 2";" 6";"4:15:35 PM"
" 3";" 2";" 6";"4:15:50 PM"
"";"";"";"4:16:05 PM"
" 4";" 2";" 7";"4:16:05 PM"
" 4";" 2";" 7";"4:16:20 PM"
"";"";"";"4:16:35 PM"
" 2";" 2";" 4";"4:16:36 PM"
" 2";" 2";" 4";"4:16:51 PM"
"";"";"";"4:17:06 PM"
" 3";" 2";" 5";"4:17:06 PM"
" 3";" 2";" 5";"4:17:21 PM"
"";"";"";"4:17:36 PM"
" 3";" 2";" 6";"4:17:37 PM"
" 3";" 2";" 6";"4:17:52 PM"
"";"";"";"4:18:07 PM"
" 4";" 2";" 7";"4:18:07 PM"
" 4";" 2";" 7";"4:18:22 PM"
"";"";"";"4:18:37 PM"
" 3";" 2";" 6";"4:18:38 PM"
" 3";" 2";" 6";"4:18:53 PM"
"";"";"";"4:19:08 PM"
" 2";" 2";" 4";"4:19:09 PM"
" 2";" 2";" 4";"4:30:04 PM"
"";"";"";"4:30:19 PM"
" 4";" 2";" 8";"4:30:20 PM"
" 3";" 2";" 7";"4:30:35 PM"
"";"";"";"4:30:50 PM"
" 3";" 2";" 9";"4:30:50 PM"
" 3";" 2";" 9";"4:31:05 PM"
"";"";"";"4:31:20 PM"
" 3";" 2";" 6";"4:31:21 PM"
" 3";" 2";" 6";"4:31:36 PM"
"";"";"";"4:31:51 PM"
" 2";" 2";" 5";"4:31:51 PM"
" 2";" 2";" 5";"4:32:06 PM"
"";"";"";"4:32:21 PM"
" 3";" 2";" 5";"4:32:22 PM"
" 3";" 2";" 5";"4:32:37 PM"
"";"";"";"4:32:52 PM"
" 3";" 2";" 5";"4:32:52 PM"
" 3";" 2";" 5";"4:33:07 PM"
"";"";"";"4:33:22 PM"
" 2";" 2";" 6";"4:33:23 PM"
" 2";" 2";" 5";"4:33:38 PM"
"";"";"";"4:33:53 PM"
" 2";" 2";" 4";"4:33:53 PM"
" 2";" 2";" 4";"4:34:08 PM"
"";"";"";"4:34:23 PM"
" 3";" 2";" 4";"4:34:24 PM"
" 3";" 2";" 4";"4:34:39 PM"
"";"";"";"4:34:54 PM"
" 3";" 2";" 3";"4:34:54 PM"
" 3";" 2";" 4";"4:35:09 PM"
"";"";"";"4:35:24 PM"
" 2";" 2";" 5";"4:35:25 PM"
" 2";" 2";" 5";"4:35:40 PM"
"";"";"";"4:35:55 PM"
" 3";" 2";" 5";"4:35:55 PM"
" 3";" 2";" 5";"4:36:10 PM"
"";"";"";"4:36:25 PM"
" 3";" 2";" 5";"4:36:26 PM"
" 2";" 2";" 4";"4:36:41 PM"
"";"";"";"4:36:56 PM"
" 2";" 2";" 3";"4:36:56 PM"
" 2";" 2";" 3";"4:37:11 PM"
"";"";"";"4:37:26 PM"
" 3";" 2";" 5";"4:37:27 PM"
" 3";" 2";" 5";"4:37:42 PM"
"";"";"";"4:37:57 PM"
" 1";" 2";" 5";"4:37:57 PM"
" 1";" 2";" 4";"4:38:12 PM"
"";"";"";"4:38:27 PM"
" 1";" 2";" 4";"4:38:28 PM"
" 1";" 2";" 4";"4:38:43 PM"
"";"";"";"4:38:58 PM"
" 2";" 2";" 4";"4:38:58 PM"
" 2";" 2";" 4";"4:39:13 PM"
"";"";"";"4:39:28 PM"
" 3";" 2";" 5";"4:39:29 PM"
" 2";" 2";" 5";"4:39:44 PM"
"";"";"";"4:39:59 PM"
" 2";" 2";" 3";"4:39:59 PM"
" 2";" 2";" 3";"4:40:14 PM"
"";"";"";"4:40:29 PM"
" 3";" 2";" 5";"4:40:30 PM"
" 3";" 2";" 5";"4:40:45 PM"
"";"";"";"4:41:00 PM"
" 3";" 2";" 5";"4:41:00 PM"
" 3";" 2";" 4";"4:41:15 PM"
"";"";"";"4:41:30 PM"
" 3";" 2";" 4";"4:41:31 PM"
