"HUM";"TEMP";"CO";"Time"
"Humidi";"peratu";" LPG G";"2:08:24 PM"
"18.00%";"20.00°";" 30.34";"2:08:54 PM"
"18.00%";"20.00°";" 25.79";"2:09:24 PM"
"18.00%";"20.00°";" 21.73";"2:09:54 PM"
"18.00%";"20.00°";" 19.87";"2:10:25 PM"
"18.00%";"20.00°";" 18.13";"2:10:55 PM"
"18.00%";"20.00°";" 21.73";"2:11:25 PM"
"18.00%";"20.00°";" 21.73";"2:11:56 PM"
"18.00%";"20.00°";" 16.50";"2:12:26 PM"
"18.00%";"20.00°";" 18.13";"2:12:56 PM"
"18.00%";"20.00°";" 14.97";"2:13:27 PM"
"18.00%";"20.00°";" 16.50";"2:13:57 PM"
"18.00%";"20.00°";" 13.54";"2:14:27 PM"
"18.00%";"20.00°";" 12.21";"2:14:58 PM"
"18.00%";"20.00°";" 12.21";"2:15:28 PM"
"18.00%";"20.00°";" 12.21";"2:15:58 PM"
"18.00%";"20.00°";" 13.54";"2:16:28 PM"
"18.00%";"20.00°";" 12.21";"2:16:59 PM"
"18.00%";"20.00°";" 12.21";"2:17:29 PM"
"18.00%";"20.00°";" 10.97";"2:17:59 PM"
"18.00%";"20.00°";" 10.97";"2:18:30 PM"
"18.00%";"20.00°";" 12.21";"2:19:00 PM"
"18.00%";"20.00°";" 12.21";"2:19:30 PM"
"18.00%";"20.00°";" 12.21";"2:20:01 PM"
"18.00%";"20.00°";" 9.827";"2:20:31 PM"
"18.00%";"20.00°";" 12.21";"2:21:01 PM"
"18.00%";"20.00°";" 8.763";"2:21:31 PM"
"18.00%";"20.00°";" 9.827";"2:22:02 PM"
"18.00%";"20.00°";" 9.827";"2:22:32 PM"
"18.00%";"20.00°";" 9.827";"2:23:02 PM"
"18.00%";"20.00°";" 8.763";"2:23:33 PM"
"Humidi";"peratu";" LPG G";"2:26:35 PM"
"18.00%";"20.00°";" 24.89";"2:26:50 PM"
"18.00%";"20.00°";" 28.04";"2:27:05 PM"
"18.00%";"20.00°";" 24.89";"2:27:20 PM"
"18.00%";"20.00°";" 31.44";"2:27:36 PM"
"18.00%";"20.00°";" 31.44";"2:27:51 PM"
"18.00%";"20.00°";" 31.44";"2:28:06 PM"
"18.00%";"20.00°";" 31.44";"2:28:22 PM"
"18.00%";"20.00°";" 28.04";"2:28:37 PM"
"18.00%";"20.00°";" 31.44";"2:28:52 PM"
"18.00%";"20.00°";" 31.44";"2:29:08 PM"
"18.00%";"20.00°";" 31.44";"2:29:23 PM"
"18.00%";"20.00°";" 35.12";"2:29:38 PM"
"18.00%";"20.00°";" 31.44";"2:29:54 PM"
"18.00%";"20.00°";" 31.44";"2:30:09 PM"
"18.00%";"20.00°";" 31.44";"2:30:24 PM"
"18.00%";"20.00°";" 35.12";"2:30:40 PM"
"18.00%";"20.00°";" 31.44";"2:30:55 PM"
"18.00%";"20.00°";" 39.08";"2:31:10 PM"
"18.00%";"20.00°";" 35.12";"2:31:25 PM"
"18.00%";"20.00°";" 31.44";"2:31:41 PM"
"18.00%";"20.00°";" 31.44";"2:31:56 PM"
"18.00%";"20.00°";" 31.44";"2:32:11 PM"
"18.00%";"20.00°";" 35.12";"2:32:27 PM"
"18.00%";"20.00°";" 39.08";"2:32:42 PM"
"18.00%";"20.00°";" 35.12";"2:32:57 PM"
"18.00%";"20.00°";" 39.08";"2:33:13 PM"
"18.00%";"20.00°";" 35.12";"2:33:28 PM"
"18.00%";"20.00°";" 35.12";"2:33:43 PM"
"18.00%";"20.00°";" 31.44";"2:33:59 PM"
