"HUM";"Temp";"CO";"Time"
"17.00%";"21.00°";" 25.36";"4:16:52 PM"
"17.00%";"21.00°";" 25.36";"4:17:07 PM"
"17.00%";"21.00°";" 25.36";"4:17:22 PM"
"17.00%";"21.00°";" 25.36";"4:17:38 PM"
"17.00%";"21.00°";" 23.19";"4:17:53 PM"
"17.00%";"21.00°";" 25.36";"4:18:08 PM"
"17.00%";"21.00°";" 23.19";"4:18:24 PM"
"17.00%";"21.00°";" 21.16";"4:18:39 PM"
"17.00%";"21.00°";" 21.16";"4:18:54 PM"
"17.00%";"21.00°";" 21.16";"4:19:09 PM"
"17.00%";"22.00°";" 17.47";"4:30:08 PM"
"17.00%";"22.00°";" 21.16";"4:30:23 PM"
"17.00%";"22.00°";" 21.16";"4:30:38 PM"
"17.00%";"22.00°";" 21.16";"4:30:54 PM"
"17.00%";"22.00°";" 21.16";"4:31:09 PM"
"17.00%";"22.00°";" 21.16";"4:31:24 PM"
"17.00%";"22.00°";" 21.16";"4:31:40 PM"
"17.00%";"22.00°";" 19.26";"4:31:55 PM"
"17.00%";"22.00°";" 21.16";"4:32:10 PM"
"17.00%";"22.00°";" 19.26";"4:32:26 PM"
"17.00%";"22.00°";" 19.26";"4:32:41 PM"
"17.00%";"22.00°";" 19.26";"4:32:56 PM"
"17.00%";"22.00°";" 21.16";"4:33:12 PM"
"17.00%";"22.00°";" 17.47";"4:33:27 PM"
"17.00%";"22.00°";" 19.26";"4:33:42 PM"
"17.00%";"22.00°";" 19.26";"4:33:57 PM"
"17.00%";"22.00°";" 19.26";"4:34:13 PM"
"17.00%";"22.00°";" 21.16";"4:34:28 PM"
"17.00%";"22.00°";" 19.26";"4:34:43 PM"
"17.00%";"22.00°";" 19.26";"4:34:59 PM"
"17.00%";"22.00°";" 17.47";"4:35:14 PM"
"17.00%";"22.00°";" 19.26";"4:35:29 PM"
"17.00%";"22.00°";" 19.26";"4:35:45 PM"
"17.00%";"22.00°";" 19.26";"4:36:00 PM"
"17.00%";"22.00°";" 17.47";"4:36:15 PM"
"17.00%";"22.00°";" 19.26";"4:36:31 PM"
"17.00%";"22.00°";" 19.26";"4:36:46 PM"
"17.00%";"22.00°";" 21.16";"4:37:01 PM"
"17.00%";"22.00°";" 21.16";"4:37:17 PM"
"17.00%";"22.00°";" 19.26";"4:37:32 PM"
"17.00%";"22.00°";" 21.16";"4:37:47 PM"
"17.00%";"22.00°";" 21.16";"4:38:02 PM"
"17.00%";"22.00°";" 19.26";"4:38:18 PM"
"17.00%";"22.00°";" 19.26";"4:38:33 PM"
"17.00%";"22.00°";" 21.16";"4:38:48 PM"
"17.00%";"22.00°";" 19.26";"4:39:04 PM"
"17.00%";"22.00°";" 17.47";"4:39:19 PM"
"17.00%";"22.00°";" 17.47";"4:39:34 PM"
"17.00%";"22.00°";" 17.47";"4:39:50 PM"
"17.00%";"22.00°";" 21.16";"4:40:05 PM"
"17.00%";"22.00°";" 19.26";"4:40:20 PM"
"17.00%";"22.00°";" 21.16";"4:40:36 PM"
"17.00%";"22.00°";" 19.26";"4:40:51 PM"
"17.00%";"22.00°";" 21.16";"4:41:06 PM"
"17.00%";"22.00°";" 19.26";"4:41:21 PM"
"17.00%";"22.00°";" 21.16";"4:41:37 PM"
"17.00%";"22.00°";" 21.16";"4:41:52 PM"
"17.00%";"22.00°";" 21.16";"4:42:07 PM"
"17.00%";"22.00°";" 19.26";"4:42:23 PM"
"17.00%";"22.00°";" 17.47";"4:42:38 PM"
"17.00%";"22.00°";" 19.26";"4:42:53 PM"
"17.00%";"22.00°";" 17.47";"4:43:09 PM"
"17.00%";"22.00°";" 21.16";"4:43:24 PM"
"17.00%";"22.00°";" 19.26";"4:43:39 PM"
"17.00%";"22.00°";" 17.47";"4:43:55 PM"
"17.00%";"22.00°";" 19.26";"4:44:10 PM"
"17.00%";"22.00°";" 19.26";"4:44:25 PM"
"17.00%";"22.00°";" 19.26";"4:44:41 PM"
"17.00%";"22.00°";" 19.26";"4:44:56 PM"
"17.00%";"22.00°";" 17.47";"4:45:11 PM"
"17.00%";"22.00°";" 19.26";"4:45:26 PM"
"17.00%";"22.00°";" 17.47";"4:45:42 PM"
"17.00%";"22.00°";" 17.47";"4:45:57 PM"
"17.00%";"22.00°";" 19.26";"4:46:12 PM"
"17.00%";"22.00°";" 17.47";"4:46:28 PM"
"17.00%";"22.00°";" 17.47";"4:46:43 PM"
"17.00%";"22.00°";" 19.26";"4:46:58 PM"
"17.00%";"22.00°";" 17.47";"4:47:14 PM"
