"HUM;""TEMP"";""CO"";""Time"""
"17.00%;""21.00°"";"" 21.85"";""12:15:31 PM"""
"17.00%;""21.00°"";"" 26.61"";""12:15:47 PM"""
"17.00%;""21.00°"";"" 20.41"";""12:16:02 PM"""
"17.00%;""21.00°"";"" 20.41"";""12:16:17 PM"""
"17.00%;""21.00°"";"" 15.28"";""12:16:33 PM"""
"17.00%;""21.00°"";"" 13.09"";""12:16:48 PM"""
"17.00%;""22.00°"";"" 17.72"";""12:17:03 PM"""
"17.00%;""22.00°"";"" 17.72"";""12:17:19 PM"""
"17.00%;""22.00°"";"" 24.18"";""12:17:44 PM"""
"17.00%;""22.00°"";"" 29.57"";""12:17:59 PM"""
"17.00%;""22.00°"";"" 25.90"";""12:18:15 PM"""
"17.00%;""22.00°"";"" 15.51"";""12:18:30 PM"""
"17.00%;""22.00°"";"" 18.11"";""12:18:45 PM"""
"17.00%;""22.00°"";"" 15.51"";""12:19:01 PM"""
"17.00%;""22.00°"";"" 43.14"";""12:19:23 PM"""
"17.00%;""22.00°"";"" 61.21"";""12:19:39 PM"""
"17.00%;""22.00°"";"" 31.56"";""12:20:11 PM"""
"17.00%;""22.00°"";"" 27.64"";""12:20:27 PM"""
"17.00%;""22.00°"";"" 20.83"";""12:20:42 PM"""
"17.00%;""22.00°"";"" 22.41"";""12:20:57 PM"""
"17.00%;""22.00°"";"" 17.91"";""12:21:12 PM"""
"17.00%;""22.00°"";"" 15.28"";""12:21:28 PM"""
"17.00%;""22.00°"";"" 17.91"";""12:21:43 PM"""
"17.00%;""22.00°"";"" 16.56"";""12:21:58 PM"""
"17.00%;""22.00°"";"" 19.33"";""12:22:14 PM"""
"17.00%;""22.00°"";"" 19.33"";""12:22:29 PM"""
"17.00%;""22.00°"";"" 16.56"";""12:22:44 PM"""
"17.00%;""22.00°"";"" 14.07"";""12:23:00 PM"""
"17.00%;""22.00°"";"" 17.91"";""12:23:15 PM"""
"17.00%;""22.00°"";"" 19.33"";""12:23:30 PM"""
"17.00%;""22.00°"";"" 20.69"";""12:24:01 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:24:25 PM"""
"17.00%;""22.00°"";"" 27.90"";""12:24:41 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:24:56 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:25:11 PM"""
"17.00%;""22.00°"";"" 34.91"";""12:25:27 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:25:42 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:25:57 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:26:13 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:26:28 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:26:43 PM"""
"17.00%;""22.00°"";"" 32.45"";""12:26:59 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:27:14 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:27:29 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:27:44 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:28:00 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:28:15 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:28:30 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:28:46 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:29:01 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:29:16 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:29:32 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:29:47 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:30:02 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:30:18 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:32:51 PM"""
"17.00%;""22.00°"";"" 27.90"";""12:33:06 PM"""
"17.00%;""22.00°"";"" 27.90"";""12:33:21 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:33:37 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:33:52 PM"""
"17.00%;""22.00°"";"" 37.49"";""12:34:07 PM"""
"17.00%;""22.00°"";"" 40.21"";""12:34:23 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:34:38 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:34:53 PM"""
"17.00%;""22.00°"";"" 18.47"";""12:35:08 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:35:24 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:35:39 PM"""
"17.00%;""22.00°"";"" 15.42"";""12:35:54 PM"""
"17.00%;""22.00°"";"" 16.90"";""12:36:10 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:36:25 PM"""
"17.00%;""22.00°"";"" 20.15"";""12:36:40 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:36:56 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:37:11 PM"""
"17.00%;""22.00°"";"" 23.81"";""12:37:26 PM"""
"17.00%;""22.00°"";"" 25.80"";""12:37:42 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:37:57 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:38:12 PM"""
"17.00%;""22.00°"";"" 21.92"";""12:38:28 PM"""
"17.00%;""22.00°"";"" 30.11"";""12:38:43 PM"""
"17.00%;""22.00°"";"" 27.90"";""12:38:58 PM"""
