"HUM";"Temp";"CO";"Time"
"15.00%";"25.00°";" 30.36";"10:47:02 AM"
"15.00%";"25.00°";" 30.36";"10:47:17 AM"
"15.00%";"25.00°";" 27.96";"10:47:32 AM"
"15.00%";"25.00°";" 27.96";"10:47:47 AM"
"15.00%";"25.00°";" 30.36";"10:48:03 AM"
"15.00%";"25.00°";" 30.36";"10:48:18 AM"
"15.00%";"25.00°";" 27.96";"10:48:33 AM"
"15.00%";"25.00°";" 27.96";"10:48:49 AM"
"15.00%";"25.00°";" 27.96";"10:49:04 AM"
"15.00%";"25.00°";" 27.96";"10:49:19 AM"
"15.00%";"25.00°";" 27.96";"10:49:35 AM"
"15.00%";"25.00°";" 51.28";"10:49:50 AM"
"15.00%";"25.00°";" 58.72";"10:50:05 AM"
"15.00%";"26.00°";" 44.53";"10:50:21 AM"
"15.00%";"25.00°";" 51.28";"10:50:36 AM"
"15.00%";"25.00°";" 51.28";"10:50:51 AM"
"15.00%";"25.00°";" 44.53";"10:51:07 AM"
"15.00%";"25.00°";" 38.41";"10:51:22 AM"
"15.00%";"26.00°";" 38.41";"10:51:37 AM"
"15.00%";"26.00°";" 32.90";"10:51:52 AM"
"15.00%";"26.00°";" 35.58";"10:52:08 AM"
"15.00%";"26.00°";" 32.90";"10:52:23 AM"
"15.00%";"26.00°";" 32.90";"10:52:38 AM"
"15.00%";"26.00°";" 32.90";"10:52:54 AM"
"15.00%";"26.00°";" 38.41";"10:53:09 AM"
"15.00%";"26.00°";" 38.41";"10:53:24 AM"
"15.00%";"26.00°";" 32.90";"10:53:40 AM"
"15.00%";"26.00°";" 32.90";"10:53:55 AM"
"15.00%";"26.00°";" 30.36";"10:54:10 AM"
"15.00%";"26.00°";" 32.90";"10:54:26 AM"
"15.00%";"26.00°";" 30.36";"10:54:41 AM"
"15.00%";"26.00°";" 30.36";"10:54:56 AM"
"15.00%";"26.00°";" 32.90";"10:55:12 AM"
"15.00%";"26.00°";" 30.36";"10:55:27 AM"
"15.00%";"26.00°";" 32.90";"10:55:42 AM"
"15.00%";"26.00°";" 32.90";"10:55:57 AM"
"15.00%";"26.00°";" 32.90";"10:56:13 AM"
"15.00%";"26.00°";" 32.90";"10:56:28 AM"
"15.00%";"26.00°";" 32.90";"10:56:43 AM"
"15.00%";"26.00°";" 32.90";"10:56:59 AM"
"15.00%";"26.00°";" 30.36";"10:57:14 AM"
"15.00%";"26.00°";" 32.90";"10:57:29 AM"
