"PM 1;""PM2.5"";""PM10"";""Time"""
" 3;"" 4"";"" 5"";""2:03:43 PM"""
" 3;"" 4"";"" 5"";""2:03:53 PM"""
";"""";"""";""2:04:03 PM"""
" 3;"" 3"";"" 4"";""2:04:04 PM"""
" 3;"" 3"";"" 4"";""2:04:14 PM"""
";"""";"""";""2:04:24 PM"""
" 3;"" 4"";"" 5"";""2:04:25 PM"""
" 3;"" 4"";"" 5"";""2:04:35 PM"""
";"""";"""";""2:04:45 PM"""
" 2;"" 4"";"" 5"";""2:04:46 PM"""
" 2;"" 4"";"" 5"";""2:04:56 PM"""
";"""";"""";""2:05:06 PM"""
" 3;"" 4"";"" 5"";""2:05:07 PM"""
" 3;"" 4"";"" 5"";""2:05:17 PM"""
";"""";"""";""2:05:27 PM"""
" 3;"" 4"";"" 5"";""2:05:28 PM"""
" 3;"" 4"";"" 5"";""2:05:38 PM"""
";"""";"""";""2:05:48 PM"""
" 3;"" 5"";"" 5"";""2:05:49 PM"""
" 3;"" 5"";"" 5"";""2:05:59 PM"""
";"""";"""";""2:06:09 PM"""
" 2;"" 4"";"" 4"";""2:06:10 PM"""
" 2;"" 4"";"" 4"";""2:06:20 PM"""
";"""";"""";""2:06:30 PM"""
" 2;"" 3"";"" 4"";""2:06:31 PM"""
" 2;"" 3"";"" 4"";""2:06:41 PM"""
";"""";"""";""2:06:51 PM"""
" 3;"" 5"";"" 6"";""2:06:52 PM"""
" 3;"" 5"";"" 6"";""2:07:02 PM"""
";"""";"""";""2:07:12 PM"""
" 2;"" 3"";"" 3"";""2:07:13 PM"""
" 2;"" 3"";"" 3"";""2:07:23 PM"""
";"""";"""";""2:07:33 PM"""
" 1;"" 3"";"" 3"";""2:07:34 PM"""
" 1;"" 3"";"" 3"";""2:07:44 PM"""
";"""";"""";""2:07:54 PM"""
" 2;"" 3"";"" 4"";""2:07:55 PM"""
" 2;"" 3"";"" 4"";""2:08:05 PM"""
";"""";"""";""2:08:14 PM"""
" 3;"" 3"";"" 3"";""2:08:15 PM"""
" 3;"" 3"";"" 3"";""2:08:25 PM"""
";"""";"""";""2:08:35 PM"""
" 3;"" 4"";"" 5"";""2:08:36 PM"""
" 4;"" 5"";"" 6"";""2:08:46 PM"""
";"""";"""";""2:08:56 PM"""
" 2;"" 4"";"" 4"";""2:08:57 PM"""
" 2;"" 4"";"" 4"";""2:09:07 PM"""
";"""";"""";""2:09:17 PM"""
" 2;"" 4"";"" 4"";""2:09:18 PM"""
" 2;"" 4"";"" 4"";""2:09:28 PM"""
";"""";"""";""2:09:38 PM"""
" 3;"" 4"";"" 5"";""2:09:39 PM"""
" 3;"" 4"";"" 5"";""2:09:49 PM"""
";"""";"""";""2:09:59 PM"""
" 3;"" 5"";"" 6"";""2:10:00 PM"""
" 3;"" 5"";"" 6"";""2:10:10 PM"""
";"""";"""";""2:10:20 PM"""
" 3;"" 5"";"" 5"";""2:10:21 PM"""
" 3;"" 5"";"" 5"";""2:10:31 PM"""
";"""";"""";""2:10:41 PM"""
" 3;"" 3"";"" 4"";""2:10:42 PM"""
" 3;"" 3"";"" 4"";""2:10:52 PM"""
";"""";"""";""2:11:02 PM"""
" 2;"" 3"";"" 3"";""2:11:03 PM"""
" 2;"" 3"";"" 3"";""2:11:13 PM"""
";"""";"""";""2:11:23 PM"""
" 3;"" 5"";"" 6"";""2:11:24 PM"""
" 3;"" 5"";"" 6"";""2:11:34 PM"""
";"""";"""";""2:11:44 PM"""
" 3;"" 5"";"" 5"";""2:11:45 PM"""
" 3;"" 5"";"" 5"";""2:11:55 PM"""
";"""";"""";""2:12:05 PM"""
" 3;"" 5"";"" 5"";""2:12:06 PM"""
" 3;"" 5"";"" 5"";""2:12:16 PM"""
";"""";"""";""2:12:26 PM"""
" 2;"" 3"";"" 3"";""2:12:27 PM"""
" 2;"" 3"";"" 3"";""2:12:37 PM"""
";"""";"""";""2:12:46 PM"""
" 3;"" 4"";"" 5"";""2:12:47 PM"""
" 3;"" 4"";"" 5"";""2:12:57 PM"""
";"""";"""";""2:13:07 PM"""
" 4;"" 4"";"" 5"";""2:13:08 PM"""
" 4;"" 4"";"" 5"";""2:13:18 PM"""
";"""";"""";""2:13:28 PM"""
" 3;"" 4"";"" 4"";""2:13:29 PM"""
" 3;"" 4"";"" 4"";""2:13:39 PM"""
";"""";"""";""2:13:49 PM"""
" 2;"" 2"";"" 4"";""2:13:50 PM"""
" 2;"" 2"";"" 4"";""2:14:00 PM"""
";"""";"""";""2:14:10 PM"""
" 2;"" 3"";"" 5"";""2:14:11 PM"""
" 2;"" 3"";"" 5"";""2:14:21 PM"""
";"""";"""";""2:14:31 PM"""
" 3;"" 4"";"" 4"";""2:14:32 PM"""
" 3;"" 4"";"" 4"";""2:14:42 PM"""
";"""";"""";""2:14:52 PM"""
" 2;"" 3"";"" 3"";""2:14:53 PM"""
" 2;"" 3"";"" 3"";""2:15:03 PM"""
";"""";"""";""2:15:13 PM"""
" 2;"" 4"";"" 5"";""2:15:14 PM"""
" 2;"" 4"";"" 5"";""2:15:24 PM"""
";"""";"""";""2:15:34 PM"""
" 2;"" 4"";"" 4"";""2:15:35 PM"""
" 1;"" 3"";"" 3"";""2:15:45 PM"""
";"""";"""";""2:15:55 PM"""
" 3;"" 4"";"" 4"";""2:15:56 PM"""
" 3;"" 4"";"" 4"";""2:16:06 PM"""
";"""";"""";""2:16:16 PM"""
" 2;"" 3"";"" 3"";""2:16:17 PM"""
" 3;"" 4"";"" 4"";""2:16:27 PM"""
";"""";"""";""2:16:37 PM"""
" 3;"" 4"";"" 4"";""2:16:37 PM"""
" 3;"" 4"";"" 4"";""2:16:47 PM"""
";"""";"""";""2:16:57 PM"""
" 3;"" 4"";"" 4"";""2:16:58 PM"""
" 2;"" 3"";"" 3"";""2:17:08 PM"""
";"""";"""";""2:17:18 PM"""
" 3;"" 5"";"" 5"";""2:17:19 PM"""
" 3;"" 5"";"" 5"";""2:17:29 PM"""
";"""";"""";""2:17:39 PM"""
" 4;"" 5"";"" 5"";""2:17:40 PM"""
" 4;"" 5"";"" 5"";""2:17:50 PM"""
";"""";"""";""2:18:00 PM"""
" 2;"" 4"";"" 5"";""2:18:01 PM"""
" 2;"" 4"";"" 5"";""2:18:11 PM"""
";"""";"""";""2:18:21 PM"""
" 3;"" 4"";"" 4"";""2:18:22 PM"""
" 3;"" 4"";"" 4"";""2:18:32 PM"""
";"""";"""";""2:18:42 PM"""
" 2;"" 3"";"" 4"";""2:18:43 PM"""
" 2;"" 3"";"" 4"";""2:18:53 PM"""
";"""";"""";""2:19:03 PM"""
" 3;"" 4"";"" 4"";""2:19:04 PM"""
" 3;"" 4"";"" 4"";""2:19:14 PM"""
";"""";"""";""2:19:24 PM"""
" 2;"" 3"";"" 3"";""2:19:25 PM"""
" 2;"" 3"";"" 3"";""2:19:35 PM"""
";"""";"""";""2:19:45 PM"""
" 3;"" 5"";"" 5"";""2:19:46 PM"""
" 3;"" 5"";"" 5"";""2:19:56 PM"""
";"""";"""";""2:20:06 PM"""
" 2;"" 3"";"" 3"";""2:20:07 PM"""
" 2;"" 3"";"" 3"";""2:20:17 PM"""
";"""";"""";""2:20:27 PM"""
" 3;"" 4"";"" 4"";""2:20:28 PM"""
" 3;"" 4"";"" 4"";""2:20:38 PM"""
";"""";"""";""2:20:48 PM"""
" 3;"" 4"";"" 4"";""2:20:49 PM"""
" 3;"" 4"";"" 4"";""2:20:59 PM"""
";"""";"""";""2:21:09 PM"""
" 3;"" 3"";"" 3"";""2:21:09 PM"""
" 3;"" 3"";"" 3"";""2:21:19 PM"""
";"""";"""";""2:21:29 PM"""
" 3;"" 3"";"" 4"";""2:21:30 PM"""
" 3;"" 3"";"" 4"";""2:21:40 PM"""
";"""";"""";""2:21:50 PM"""
" 3;"" 5"";"" 5"";""2:21:51 PM"""
" 3;"" 5"";"" 5"";""2:22:01 PM"""
";"""";"""";""2:22:11 PM"""
" 4;"" 6"";"" 6"";""2:22:12 PM"""
" 4;"" 6"";"" 6"";""2:22:22 PM"""
";"""";"""";""2:22:32 PM"""
" 2;"" 3"";"" 4"";""2:22:33 PM"""
" 2;"" 3"";"" 4"";""2:22:43 PM"""
";"""";"""";""2:22:53 PM"""
" 3;"" 5"";"" 5"";""2:22:54 PM"""
" 2;"" 4"";"" 4"";""2:23:04 PM"""
";"""";"""";""2:23:14 PM"""
" 3;"" 4"";"" 6"";""2:23:15 PM"""
" 2;"" 3"";"" 5"";""2:23:25 PM"""
";"""";"""";""2:23:35 PM"""
" 2;"" 4"";"" 4"";""2:23:36 PM"""
" 3;"" 5"";"" 5"";""2:23:46 PM"""
";"""";"""";""2:23:56 PM"""
" 2;"" 4"";"" 6"";""2:23:57 PM"""
" 2;"" 4"";"" 6"";""2:24:07 PM"""
";"""";"""";""2:24:17 PM"""
" 2;"" 4"";"" 5"";""2:24:18 PM"""
" 2;"" 4"";"" 5"";""2:24:28 PM"""
";"""";"""";""2:24:38 PM"""
" 3;"" 5"";"" 5"";""2:24:39 PM"""
" 3;"" 5"";"" 5"";""2:24:49 PM"""
";"""";"""";""2:24:59 PM"""
" 3;"" 5"";"" 5"";""2:25:00 PM"""
" 3;"" 5"";"" 5"";""2:25:10 PM"""
";"""";"""";""2:25:20 PM"""
" 2;"" 4"";"" 5"";""2:25:20 PM"""
" 2;"" 4"";"" 5"";""2:25:30 PM"""
";"""";"""";""2:25:40 PM"""
" 3;"" 6"";"" 6"";""2:25:41 PM"""
" 3;"" 6"";"" 6"";""2:25:51 PM"""
";"""";"""";""2:26:01 PM"""
" 2;"" 3"";"" 3"";""2:26:02 PM"""
" 2;"" 3"";"" 3"";""2:26:12 PM"""
";"""";"""";""2:26:22 PM"""
" 2;"" 3"";"" 3"";""2:26:23 PM"""
" 2;"" 3"";"" 3"";""2:26:33 PM"""
";"""";"""";""2:26:43 PM"""
" 3;"" 4"";"" 5"";""2:26:44 PM"""
" 3;"" 4"";"" 5"";""2:26:54 PM"""
";"""";"""";""2:27:04 PM"""
" 2;"" 3"";"" 5"";""2:27:05 PM"""
" 2;"" 3"";"" 5"";""2:27:15 PM"""
";"""";"""";""2:27:25 PM"""
" 3;"" 3"";"" 4"";""2:27:26 PM"""
" 3;"" 3"";"" 4"";""2:27:36 PM"""
";"""";"""";""2:27:46 PM"""
" 3;"" 3"";"" 3"";""2:27:47 PM"""
" 3;"" 3"";"" 3"";""2:27:57 PM"""
";"""";"""";""2:28:07 PM"""
" 3;"" 4"";"" 4"";""2:28:08 PM"""
" 3;"" 4"";"" 4"";""2:28:18 PM"""
";"""";"""";""2:28:28 PM"""
" 3;"" 4"";"" 4"";""2:28:29 PM"""
" 3;"" 4"";"" 4"";""2:28:39 PM"""
